Symbol,Name,Book Value Per Share,Price / Book Value
MMYT,MakeMyTrip Ltd.,9.8352,7.224052
NGMS,NeoGames SA,3.96473,7.221172
FIZZ,National Beverage Corp.,6.0326,7.220767
ALKT,Alkami Technology Inc,3.35953,7.218272
COCO,"Vita Coco Company, Inc.",3.55781,7.209491
TXRH,"Texas Roadhouse, Inc.",17.09344,7.205103
AVPT,"AvePoint, Inc. Class A",1.14052,7.198471
IMGN,"ImmunoGen, Inc.",0.68936,7.195079
GTI,Graphjet Technology Class A,1.57229,7.193329
QDRO,Quadro Acquisition One Corp. Class A,1.5049,7.189847
RCEL,AVITA Medical Inc,1.91013,7.182757
CHRW,"C.H. Robinson Worldwide, Inc.",12.14971,7.110458
TRON,Corner Growth Acquisition Corp. 2 Class A,1.59774,7.097525
RMBS,Rambus Inc.,9.62508,7.09085
PCTY,Paylocity Holding Corp.,18.60907,7.085255
CPRT,"Copart, Inc.",6.25422,7.066429
ELTX,"Elicio Therapeutics, Inc",1.18423,7.042551
LSTR,"Landstar System, Inc.",27.548,7.029549
BDRX,Biodexa Pharmaceuticals plc Sponsored ADR,0.38149,7.025086
XFIN,ExcelFin Acquisition Corp. Class A,1.53231,6.999237
XPON,"Expion360, Inc.",0.77275,6.975089
DUET,DUET Acquisition Corp Class A,1.58139,6.943259
ENGN,enGene Holdings Inc.,3.12467,6.943133
SAVA,"Cassava Sciences, Inc.",3.25469,6.916173
LPSN,"LivePerson, Inc.",0.54804,6.915554
RELY,"Remitly Global, Inc.",2.80911,6.913222
REKR,"Rekor Systems, Inc. Class B",0.48239,6.903128
WFCF,"Where Food Comes From, Inc.",1.96602,6.892453
HCKT,"Hackett Group, Inc.",3.30369,6.892293
NXPI,NXP Semiconductors NV,33.60939,6.833805
DMLP,"Dorchester Minerals, L.P.",4.68491,6.794154
FLNC,"Fluence Energy, Inc. Class A",3.3838,6.794137
INTA,"Intapp, Inc.",5.4036,6.786217
AUID,authID Inc.,1.39655,6.773836
CAPR,"Capricor Therapeutics, Inc.",0.72561,6.739157
NUVL,"Nuvalent, Inc. Class A",10.93513,6.729687
ATAT,Atour Lifestyle Holdings Ltd. Sponsored ADR,2.57971,6.729439
VERA,"Vera Therapeutics, Inc. Class A",2.28752,6.723438
RANI,"Rani Therapeutics Holdings, Inc. Class A",0.49416,6.718472
GRI,"GRI Bio, Inc.",5.21418,6.718307
WSC,WillScot Holdings Corporation Class A,6.63931,6.702504
COIN,"Coinbase Global, Inc. Class A",25.95208,6.701582
AMAT,"Applied Materials, Inc.",19.62665,6.689883
PSIG,PS International Group Limited,1.71766,6.689333
GDHG,Golden Heaven Group Holdings Ltd. Class A,1.17972,6.679551
HAS,"Hasbro, Inc.",7.65121,6.673454
NVEC,NVE Corporation,13.56494,6.648021
CORT,Corcept Therapeutics Incorporated.,4.9002,6.628301
GDTC,CytoMed Therapeutics Limited,0.7394,6.626995
BLZE,"Backblaze, Inc. Class A",1.14782,6.612535
IPAR,"Inter Parfums, Inc.",21.85285,6.589987
PLMI,Plum Acquisition Corp. I Class A,1.64918,6.579027
JKHY,"Jack Henry & Associates, Inc.",25.28215,6.566689
TER,"Teradyne, Inc.",16.54178,6.560358
FAAS,DigiAsia Corp.,1.76458,6.553967
CAMT,Camtek Ltd,10.60425,6.54266
GWRS,"Global Water Resources, Inc.",2.01115,6.503742
FRSH,"Freshworks, Inc. Class A",3.61402,6.499687
UDMY,"Udemy, Inc.",2.27079,6.486729
PRME,"Prime Medicine, Inc.",1.36655,6.48348
ANAB,"AnaptysBio, Inc.",3.31255,6.466318
SKIN,Beauty Health Company Class A,0.48324,6.435726
PGNY,"Progyny, Inc.",5.78099,6.431424
COEP,Coeptis Therapeutics Holdings Inc.,0.1221,6.420147
VRNA,Verona Pharma plc Sponsored ADR,3.09892,6.415138
MREO,Mereo BioPharma Group plc Sponsored ADR,0.36083,6.401906
GEN,Gen Digital Inc.,3.52648,6.351943
SRRK,Scholar Rock Holding Corp.,2.96419,6.342373
FIVE,"Five Below, Inc.",28.71408,6.307359
PDSB,PDS Biotechnology Corp.,0.78959,6.294406
PTC,PTC Inc.,22.52739,6.289233
NN,NextNav Inc.,0.70847,6.281141
OLED,Universal Display Corporation,30.55447,6.259641
OLK,Olink Holding AB Sponsored ADR,4.04294,6.220721
OHAA,OPY Acquisition Corp. I Class A,1.61414,6.20764
QOMO,Qomolangma Acquisition Corp.,1.73736,6.19906
POWI,"Power Integrations, Inc.",13.25815,6.193172
TNDM,"Tandem Diabetes Care, Inc.",4.78448,6.18249
GOOGL,Alphabet Inc. Class A,22.7431,6.142083
SMID,Smith-Midland Corporation,6.43493,6.138373
CHKP,Check Point Software Technologies Ltd.,24.98529,6.115198
MTSI,"MACOM Technology Solutions Holdings, Inc.",13.34836,6.111612
JEWL,Adamas One Corp.,0.11477,6.099155
SEPA,SEP Acquisition Corp Class A,1.73415,6.09509
EQIX,"Equinix, Inc.",132.1866,6.092826
CCOI,Cogent Communications Holdings Inc,12.54009,6.065347
COKE,"Coca-Cola Consolidated, Inc.",153.15187,6.061957
SCPH,"scPharmaceuticals, Inc.",1.03474,6.059493
ELDN,"Eledon Pharmaceuticals, Inc.",0.29769,6.046558
PAYS,"PaySign, Inc. Class B",0.46418,6.032143
TPG,TPG Inc Class A,7.18588,6.007615
DCTH,"Delcath Systems, Inc.",0.69314,6.001674
BLMN,"Bloomin' Brands, Inc.",4.70425,5.983951
ACLX,"Arcellx, Inc.",9.28423,5.977879
SAIA,"Saia, Inc.",73.32009,5.976807
PXLW,"Pixelworks, Inc.",0.21953,5.967294
VRTX,Vertex Pharmaceuticals Incorporated,68.22168,5.964233
META,Meta Platforms Inc Class A,59.80789,5.918283
KRUS,"Kura Sushi USA, Inc. Class A",14.76998,5.915377
CSWI,"CSW Industrials, Inc.",39.68822,5.911074
CRVO,CervoMed Inc.,1.29998,5.869321
DASH,"DoorDash, Inc. Class A",16.87879,5.858832
ANSS,"ANSYS, Inc.",62.02532,5.850514
NBIX,"Neurocrine Biosciences, Inc.",22.61398,5.826484
RAPT,"RAPT Therapeutics, Inc.",4.27448,5.813572
PMN,ProMIS Neurosciences Inc.,0.19874,5.786455
NMRA,"Neumora Therapeutics, Inc.",2.95328,5.773242
TTEK,"Tetra Tech, Inc.",26.35654,5.768208
CSGS,"CSG Systems International, Inc.",9.25243,5.750922
BLKB,"Blackbaud, Inc.",15.08062,5.749101
AVTE,"Aerovate Therapeutics, Inc.",3.94256,5.739925
EXLS,"ExlService Holdings, Inc.",5.38146,5.732645
JYNT,Joint Corp.,1.67757,5.728524
TMCI,"Treace Medical Concepts, Inc.",2.23383,5.707686
IRDM,Iridium Communications Inc.,7.2335,5.690191
ANEB,"Anebulo Pharmaceuticals, Inc.",0.41358,5.682093
ALGN,"Align Technology, Inc.",48.35816,5.666055
ROKU,"Roku, Inc. Class A",16.21115,5.654133
FPAY,"FlexShopper, Inc.",0.29547,5.652012
CRDO,Credo Technology Group Holding Ltd.,3.28778,5.645146
OCUL,Ocular Therapeutix Inc,0.7927,5.62634
LANC,Lancaster Colony Corporation,33.63131,5.618871
HROW,"Harrow, Inc.",2.00058,5.598376
CSX,CSX Corporation,6.19408,5.59728
